Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2022-11-28 00:00:06,O,1189,29864,850,73,757,1,2,14,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,51376
2022-11-28 00:01:00,O,1189,29864,850,73,757,0,2,311,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,55244
2022-11-28 00:02:00,O,1189,29862,850,73,757,1,1,344,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,28348
2022-11-28 00:03:11,O,1189,29864,850,73,757,1,1,346,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,1621
2022-11-28 00:04:00,O,1189,29864,850,73,757,1,1,343,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,25145
2022-11-28 00:05:06,O,1189,29863,850,73,757,0,1,343,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,30435
2022-11-28 00:06:00,O,1189,29863,850,73,757,1,1,19,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,37712
2022-11-28 00:07:00,O,1189,29862,849,73,757,0,1,59,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,3516
2022-11-28 00:08:00,O,1189,29864,849,73,757,0,1,59,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,28797
2022-11-28 00:09:00,O,1189,29863,849,73,757,2,1,336,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,14652
2022-11-28 00:10:01,O,1189,29865,849,73,757,0,0,336,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,43624
2022-11-28 00:11:00,O,1189,29865,849,73,757,1,0,317,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,9241
2022-11-28 00:12:00,O,1189,29865,849,73,757,1,1,314,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,13477
2022-11-28 00:13:00,O,1189,29863,848,73,757,2,1,305,65535,65535,65535,94,65535,0,255,0,0,65535,0,0,0,0,316,897,65535,65535,0,0,0,0,0,0,776,6,45,558,1740,10,13,23297
