Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2022-12-12 00:00:00,O,1860,29827,847,71,762,0,1,78,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,23787
2022-12-12 00:01:00,O,1860,29825,848,71,762,2,1,41,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,65440
2022-12-12 00:02:00,O,1860,29826,848,71,763,0,1,35,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,63462
2022-12-12 00:03:00,O,1860,29826,848,71,762,0,1,38,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,51239
2022-12-12 00:04:01,O,1860,29827,847,71,762,0,1,37,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,4108
2022-12-12 00:05:05,O,1861,29827,847,71,762,1,0,29,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,7876
2022-12-12 00:06:00,O,1861,29827,848,71,762,0,0,27,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,40760
2022-12-12 00:07:00,O,1861,29826,847,71,762,0,1,13,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,52183
2022-12-12 00:08:01,O,1861,29827,847,71,762,1,1,13,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,41676
2022-12-12 00:09:00,O,1861,29825,847,71,762,0,1,13,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,22233
2022-12-12 00:10:00,O,1861,29825,847,71,762,0,1,38,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,8044
2022-12-12 00:11:00,O,1861,29828,847,71,762,0,1,38,65535,65535,65535,90,65535,0,255,0,0,65535,0,0,0,0,132,1060,65535,65535,0,0,0,0,0,0,778,6,45,605,1745,10,13,47231
