Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2022-12-09 00:00:00,O,1716,29831,833,67,738,1,2,355,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,15400
2022-12-09 00:01:00,O,1716,29828,834,67,738,0,1,355,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,45782
2022-12-09 00:02:01,O,1716,29830,833,67,738,0,1,355,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,2779
2022-12-09 00:03:00,O,1716,29827,833,67,738,0,1,355,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,44488
2022-12-09 00:04:05,O,1716,29828,833,67,738,2,1,301,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,46695
2022-12-09 00:05:00,O,1716,29826,833,67,737,4,1,302,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,56991
2022-12-09 00:06:01,O,1716,29825,833,67,737,1,1,294,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,32084
2022-12-09 00:07:00,O,1716,29826,833,67,737,1,1,294,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,57434
2022-12-09 00:08:00,O,1716,29825,833,68,737,1,1,294,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,31853
2022-12-09 00:09:00,O,1716,29822,832,68,736,1,1,294,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,777,6,45,603,1744,10,13,51657
2022-12-09 00:10:00,O,1716,29821,832,68,736,0,1,294,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,26264
2022-12-09 00:11:01,O,1716,29822,832,68,735,1,1,308,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,65066
2022-12-09 00:12:00,O,1716,29822,832,68,735,1,1,327,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,28477
2022-12-09 00:13:00,O,1716,29821,832,68,734,0,1,334,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,20204
2022-12-09 00:14:00,O,1716,29822,832,68,734,0,1,335,65535,65535,65535,86,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,51582
2022-12-09 00:15:00,O,1716,29820,832,67,734,2,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,39659
2022-12-09 00:16:00,O,1716,29821,832,67,733,1,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,14634
2022-12-09 00:17:00,O,1716,29822,831,67,733,0,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,50565
2022-12-09 00:18:00,O,1716,29821,831,67,732,0,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,22406
2022-12-09 00:19:00,O,1716,29821,831,68,732,0,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,22207
2022-12-09 00:20:00,O,1716,29819,831,68,732,0,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,27810
2022-12-09 00:21:00,O,1716,29819,830,68,731,0,1,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,11987
2022-12-09 00:22:06,O,1716,29818,830,68,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,36734
2022-12-09 00:23:01,O,1716,29819,830,68,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,7051
2022-12-09 00:24:00,O,1716,29821,830,68,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,8598
2022-12-09 00:25:00,O,1716,29818,830,68,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,36734
2022-12-09 00:26:07,O,1716,29818,830,69,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,8864
2022-12-09 00:27:00,O,1716,29819,831,69,731,0,0,340,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,55559
2022-12-09 00:28:00,O,1716,29819,830,69,731,0,0,339,65535,65535,65535,87,65535,0,255,0,0,65535,0,0,0,0,95,1023,65535,65535,0,0,0,0,0,0,778,6,45,603,1744,10,13,37809
