Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,14:00,28.6,2.1,350.0,1011.3,25.7,100.0,0.0,0.0,84.7,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,15:00,28.9,2.2,334.1,1010.7,26.2,100.0,0.0,0.0,85.3,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,16:00,28.8,2.5,343.7,1010.4,26.2,100.0,0.0,0.0,85.8,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,17:00,28.5,2.6,343.4,1010.5,26.5,100.0,0.0,0.0,89.1,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,18:00,27.5,2.1,343.4,1011.1,26.5,100.0,0.0,0.0,93.8,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,19:00,26.2,2.3,333.7,1011.7,25.5,100.0,0.0,0.0,95.7,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,20:00,25.5,2.2,330.0,1012.2,24.8,100.0,0.0,0.0,95.9,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,21:00,25.2,2.2,330.0,1012.9,24.6,100.0,0.0,0.0,96.4,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,22:00,24.9,2.0,349.4,1013.5,24.3,100.0,0.3,0.0,96.5,Nublado - Llovizna
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-27,23:00,24.6,2.4,40.9,1013.5,24.1,100.0,0.0,0.0,96.9,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,00:00,23.7,1.9,70.2,1013.1,23.3,100.0,0.0,0.0,97.1,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,01:00,23.0,1.6,94.1,1012.2,22.5,100.0,0.0,0.0,97.0,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,02:00,22.7,1.6,93.7,1011.5,22.2,100.0,0.0,0.0,97.0,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,03:00,22.6,1.3,94.1,1011.3,22.2,90.0,0.0,0.0,97.5,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,04:00,22.6,1.2,104.1,1011.6,22.2,90.0,0.0,0.0,97.8,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,05:00,22.7,1.2,110.2,1011.9,22.3,90.0,0.0,0.0,97.8,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,06:00,22.7,1.7,134.3,1012.5,22.4,90.0,0.0,0.0,97.7,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,07:00,23.4,1.9,150.0,1013.1,22.5,80.0,0.3,20.0,94.8,Nublado - Llovizna
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,08:00,24.4,2.0,170.0,1013.6,22.4,80.0,0.0,0.0,88.5,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,09:00,25.7,2.3,190.0,1013.6,22.2,80.0,0.0,0.0,81.2,Nublado
05154000,7.977341,-75.198278,,ANTIOQUIA,2022-07-28,10:00,26.6,2.2,179.6,1013.1,21.4,80.0,0.0,0.0,73.1,Nublado
