Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,12:00,29.0,2.4,357.7,1012.5,21.7,70.0,0.0,0.0,64.7,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,13:00,29.7,2.7,357.3,1011.5,21.1,68.9,0.0,0.0,60.2,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,14:00,30.2,2.9,343.9,1010.3,21.5,70.0,0.5,0.0,59.8,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,15:00,30.3,3.1,343.5,1009.6,23.0,80.0,1.0,0.0,65.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,16:00,29.9,3.1,350.0,1008.6,23.8,80.0,1.5,0.0,69.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,17:00,28.8,2.8,350.0,1009.1,25.0,80.0,1.0,0.0,79.9,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,18:00,27.4,2.5,3.5,1010.1,25.4,80.0,0.5,0.0,88.5,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,19:00,25.6,2.5,13.9,1010.6,23.2,80.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,20:00,25.0,2.2,14.9,-,-,50.4,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,21:00,24.7,2.0,23.9,-,-,70.0,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,22:00,24.5,1.8,33.9,-,-,70.0,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-29,23:00,24.4,1.8,40.4,-,-,60.0,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,00:00,24.3,1.4,50.0,-,-,60.4,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,01:00,24.2,1.0,53.9,-,-,70.4,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,02:00,24.1,0.7,106.0,1010.7,22.5,80.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,03:00,23.9,0.6,117.0,1010.3,22.5,70.4,0.0,0.0,-,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,04:00,23.6,0.6,183.9,1010.3,22.7,90.7,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,05:00,23.3,0.7,203.9,1010.4,22.5,100.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,06:00,23.2,0.8,213.9,1010.7,22.6,100.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,07:00,23.5,0.9,214.9,1011.2,23.2,100.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,08:00,24.2,1.0,203.9,1013.1,22.5,90.0,0.0,0.0,90.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,09:00,25.0,1.4,203.9,1013.4,22.6,86.5,0.0,0.0,86.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,10:00,25.6,1.6,202.8,1012.3,24.1,80.0,0.0,0.0,-,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,11:00,26.6,1.5,204.3,1012.2,24.2,86.5,1.1,0.0,-,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,12:00,27.5,1.4,214.9,1011.5,21.0,90.0,2.1,0.0,67.7,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,13:00,28.1,1.1,214.9,1010.6,22.6,100.0,3.1,0.0,72.4,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,14:00,27.9,1.1,229.4,1009.8,22.6,90.0,2.0,40.0,72.9,Nublado - Tormenta Ligera
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,15:00,27.5,1.0,270.0,1009.2,21.8,90.0,1.0,0.0,71.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,16:00,27.0,1.4,290.0,1008.9,21.5,90.0,0.0,0.0,71.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,17:00,26.9,1.2,298.9,1009.0,25.1,90.0,0.0,0.0,89.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,18:00,26.2,1.0,286.1,1009.6,24.6,90.0,0.0,0.0,90.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,19:00,25.1,0.5,265.5,1010.7,23.9,90.0,0.0,0.0,93.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,20:00,24.5,0.7,190.5,1011.4,23.6,90.0,0.0,0.0,94.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,21:00,24.3,0.9,161.8,1012.1,23.4,90.0,0.0,0.0,95.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,22:00,24.1,1.0,173.9,1012.7,23.3,90.0,0.0,0.0,95.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,23:00,23.8,1.1,192.8,1012.8,23.0,90.0,0.0,0.0,95.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,00:00,23.7,1.3,183.9,1012.1,22.9,90.0,0.0,0.0,95.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,01:00,23.4,1.2,193.5,1011.4,22.8,100.0,0.0,0.0,96.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,02:00,23.2,1.2,203.9,1011.1,22.7,90.0,0.0,0.0,96.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,03:00,23.1,1.2,193.5,1010.6,22.5,90.0,0.0,0.0,96.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,04:00,23.0,1.3,169.6,1010.8,22.5,90.0,0.0,0.0,97.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,05:00,23.0,1.6,146.1,1011.3,22.6,90.0,0.0,0.0,97.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,06:00,23.1,1.7,135.5,1012.1,22.6,90.0,0.0,0.0,97.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,07:00,23.4,1.5,145.5,1012.8,23.1,90.0,0.0,0.0,98.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,08:00,24.4,1.7,203.5,1013.3,24.1,100.0,0.0,0.0,98.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,09:00,25.3,2.1,210.0,1013.1,24.5,100.0,0.0,0.0,95.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,10:00,26.2,2.3,200.0,1013.0,25.0,100.0,0.0,0.0,93.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,11:00,26.6,2.3,202.8,1012.6,24.5,100.0,0.0,0.0,88.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,12:00,26.9,2.0,203.9,1011.8,24.6,100.0,0.0,0.0,87.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,13:00,27.3,2.1,213.9,1011.0,23.3,100.0,0.0,0.0,78.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,14:00,27.8,2.3,223.9,1010.0,23.2,90.0,2.5,0.0,76.1,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,15:00,27.9,2.3,223.9,1009.4,23.0,80.0,4.9,0.0,74.5,Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,16:00,27.7,2.0,223.9,1009.3,23.1,80.0,7.5,0.0,76.4,Nublado - Lluvia Fuerte
