Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2022-12-03 08:19:39,O,1444,29877,838,73,808,0,1,347,65535,65535,65535,80,65535,0,255,297,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,979
2022-12-03 08:20:00,O,1444,29877,838,73,809,1,1,360,65535,65535,65535,80,65535,0,255,297,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,25973
2022-12-03 08:21:00,O,1444,29877,838,73,809,2,1,355,65535,65535,65535,81,65535,0,255,320,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,17210
2022-12-03 08:22:01,O,1444,29874,838,73,810,1,1,360,65535,65535,65535,81,65535,0,255,320,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,33266
2022-12-03 08:23:00,O,1444,29875,838,73,812,2,1,286,65535,65535,65535,81,65535,0,255,360,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,17427
2022-12-03 08:24:00,O,1444,29874,838,73,814,1,1,336,65535,65535,65535,82,65535,0,255,357,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,31624
2022-12-03 08:25:00,O,1444,29875,839,73,816,2,1,284,65535,65535,65535,80,65535,0,255,359,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,11163
2022-12-03 08:26:01,O,1444,29873,839,73,817,2,1,290,65535,65535,65535,79,65535,0,255,360,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,2425
2022-12-03 08:27:00,O,1444,29876,839,73,817,2,2,279,65535,65535,65535,79,65535,0,255,367,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,52512
2022-12-03 08:28:00,O,1444,29873,839,73,818,1,2,321,65535,65535,65535,79,65535,0,255,369,0,65535,0,0,0,7,20,948,65535,65535,0,0,0,0,0,0,777,6,75,600,1742,10,13,10540
