Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,12:00,30.0,3.1,321.7,1012.5,23.6,51.3,0.0,0.0,68.8,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,13:00,30.5,4.1,321.3,1011.5,23.4,51.3,0.0,0.0,65.7,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,14:00,30.6,5.1,322.5,1010.3,23.1,66.8,0.0,0.0,64.2,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,15:00,29.8,5.4,332.5,1009.5,22.6,70.0,0.0,0.0,65.2,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,16:00,29.0,5.3,341.3,1008.5,23.2,70.0,0.0,0.0,70.8,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,17:00,28.4,5.1,341.3,1009.0,23.9,80.0,0.0,0.0,76.5,Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,18:00,27.9,4.6,350.0,1009.9,24.9,80.0,0.0,0.0,83.8,Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,19:00,27.5,4.2,350.0,1010.5,24.2,84.4,0.0,0.0,-,Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,20:00,27.3,3.8,350.0,-,-,63.6,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,21:00,27.3,3.3,0.0,-,-,69.2,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,22:00,27.2,2.9,6.4,-,-,69.2,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-29,23:00,27.0,2.7,20.8,-,-,69.2,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,00:00,26.7,2.4,30.0,-,-,60.0,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,01:00,26.5,2.0,19.5,-,-,65.6,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,02:00,26.4,1.4,16.4,1010.5,24.0,55.6,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,03:00,26.2,0.9,27.6,1010.2,24.2,65.6,0.0,0.0,-,Parcialmente Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,04:00,26.1,0.7,105.3,1010.2,24.0,90.0,0.0,0.0,-,Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,05:00,26.0,0.7,191.3,1010.2,23.9,90.0,0.0,0.0,-,Nublado
05837000,8.089113,-76.72916,,ANTIOQUIA,2022-07-30,06:00,25.9,1.4,200.0,1010.5,23.8,89.5,0.0,0.0,-,Nublado
