Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-30 00:00:00,O,1408,29919,699,62,632,0,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,45,618,1809,10,13,7814
2020-01-30 00:01:00,O,1409,29918,699,62,632,0,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,45,618,1809,10,13,33628
2020-01-30 00:02:00,O,1410,29919,699,62,632,1,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,45,618,1809,10,13,61750
2020-01-30 00:03:00,O,1411,29919,699,62,632,0,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,15077
2020-01-30 00:04:00,O,1412,29918,699,62,632,0,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,37341
2020-01-30 00:05:00,O,1413,29918,699,62,631,2,1,234,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,5748
2020-01-30 00:06:00,O,1414,29919,698,62,632,1,1,269,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,35366
2020-01-30 00:07:00,O,1415,29920,698,62,631,1,1,238,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,51747
2020-01-30 00:08:00,O,1416,29919,698,62,631,0,1,238,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,22709
2020-01-30 00:09:00,O,1417,29919,698,62,631,1,1,238,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,44148
2020-01-30 00:10:00,O,1418,29920,698,62,631,0,1,220,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,65007
2020-01-30 00:11:00,O,1419,29924,697,62,630,1,1,232,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,26444
2020-01-30 00:12:00,O,1420,29923,697,62,630,1,1,240,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,31047
2020-01-30 00:13:00,O,1421,29924,697,62,630,1,1,242,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,52136
2020-01-30 00:14:00,O,1422,29922,696,62,630,1,1,242,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,55112
2020-01-30 00:15:00,O,1423,29923,696,62,629,4,1,242,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,12768
2020-01-30 00:16:00,O,1424,29922,695,62,629,4,1,283,65535,65535,65535,86,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,406
2020-01-30 00:17:00,O,1425,29923,695,62,629,2,1,306,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,56905
2020-01-30 00:18:00,O,1426,29923,694,62,628,1,1,306,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,33604
2020-01-30 00:19:00,O,1427,29923,693,62,628,1,1,306,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,15261
2020-01-30 00:20:00,O,1428,29922,693,62,627,1,1,243,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,40883
2020-01-30 00:21:00,O,1429,29923,693,62,627,0,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,61491
2020-01-30 00:22:00,O,1430,29922,692,62,627,1,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,60683
2020-01-30 00:23:00,O,1431,29922,691,62,627,0,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,13669
2020-01-30 00:24:00,O,1432,29923,691,62,627,0,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,63285
2020-01-30 00:25:00,O,1433,29923,690,62,627,0,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,37192
2020-01-30 00:26:00,O,1434,29922,690,62,627,0,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,7884
2020-01-30 00:27:00,O,1435,29923,689,62,627,1,1,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,53006
2020-01-30 00:28:00,O,1436,29923,689,62,626,0,0,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,14200
2020-01-30 00:29:00,O,1437,29926,688,62,626,0,0,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,62998
2020-01-30 00:30:00,O,1438,29924,688,62,626,1,0,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,6514
2020-01-30 00:31:00,O,1439,29924,687,62,626,1,0,240,65535,65535,65535,87,65535,0,0,0,0,65535,0,242,6690,64,344,344,65535,65535,0,0,0,0,0,0,818,6,75,618,1809,10,13,21303
